,Name,Laptop ID,Price,Date
0,"Dell Inspiron 3593 15.6-inch FHD Laptop (10th Gen Core i3-1005G1/8GB/1TB HDD/Windows 10 Home + MS Office/Intel HD Graphics), Platinum Silver",B089QMC6M1,39990,13/11
1,"Lenovo Legion 5i 10th Gen Intel Core i7 15.6 inch Full HD Gaming Laptop (8GB/1TB HDD + 256GB SSD/Windows 10/120 Hz/NVIDIA GTX 1650 4GB GDDR6 Graphics/Phantom Black/2.3Kg), 82AU00BAIN",B08CQ8S6VD,82990,13/11
2,"DELL Inspiron 3593 15.6-inch FHD Laptop (10th Gen Core i3-1035G1/4GB/1TB HDD/Window 10 + Microsoft Office/NoDvD/Integrated Graphics), Black",B08LC55QJ1,35490,13/11
3,HP 14s core i5 10th Gen 14 inch FHD Laptop (8 GB/256 GB SSD/1TB HDD/Windows 10/MS Office 2019/Natural Silver /1.43kg) 14s-cr2000tu,B08428CSZF,59990,13/11
4,Dell Inspiron 3595 15.6-inch HD Laptop (A9-9425/4GB/1TB HDD/Win 10 + MS Office/Radeon R5 Integrated Graphics/Silver) D560167WIN9SE,B0839L8XW1,28490,13/11
5,"MSI Gaming GL65 Leopard, Intel 9th Gen. i7-9750H, 15.6"" FHD Gaming Laptop (16GB/512GB NVMe SSD/Windows 10 Home/Nvidia GTX 1660Ti/ Black/2.3Kg) 9SDK-474IN",B08GXWP85B,82990,13/11
6,"ASUS VivoBook Ultra 15 AMD Ryzen 5 4500U 15.6-inch FHD Thin and Light Laptop (8GB RAM/512GB NVMe SSD/Windows 10/Integrated Graphics/Bespoke Black/1.80 kg), M513IA-EJ310T",B08CHZGPCB,51990,13/11
7,"HP Pavilion x360 Core i7 8th Gen 14-inch Touchscreen 2-in-1 FHD Thin and Light Laptop (16GB/512GB SSD/Windows 10/MS Office/2GB Graphics/Mineral Silver/1.59 kg), 14- dh0045TX",B07NMSWFS4,83990,13/11
8,Dell G3 3500 Gaming Laptop with 15.6 Inch 120 Hz FHD Display (10th Gen i5-10300H/ 8 GB/ 1TB+256 SSD/ Win 10/ NVIDIA GTX 1650 4GB Graphics) D560245HIN9BE / D560317HIN9BE,B08GY2DR2Z,72990,13/11
9,Dell Inspiron 3593 15.6 inch FHD Laptop (10th Gen i3-1005G1/ 4GB/ 1TB + 256 GB SSD/ Integrated Graphics/ Win 10 + MS Office/ Silver) D560301WIN9SE,B08GY8DR67,43870,13/11
10,"AVITA Liber NS14A8INF561-PAF 14-inch Laptop (10th Gen Core i5-10210U/8GB/512GB SSD/Window 10 Home/Integrated Graphics), Golden Matt Black, Special Edition",B08H17YDFR,37990,13/11
11,"HP 15 10th Gen Intel Core i5 Processor 15.6-inch FHD Laptop (8GB/1TB HDD/Win 10 Home/MS Office/Finger Print Reader/Natural Silver), 15s du1034TU",B084V5YCLY,57580,13/11
12,"Lenovo Legion 5i 10th Gen Intel Core i5 15.6 inch Full HD Gaming Laptop (8GB/1TB HDD + 256GB SSD/Windows 10/120 Hz/NVIDIA GTX 1650Ti 4GB GDDR6 Graphics/Phantom Black/2.3Kg), 82AU00B6IN",B08CQBY9SZ,71990,13/11
13,HP 245 G7 Laptop 2D8C6PA (AMD Ryzen 3-3300U/4GB Ram/ 1TB HDD/ 14.0 inch HD /Windows-10/AMD Radeon Vega 6 Graphics/ Dark Ash Silver/1.52Kg),B08KJ92N9V,28699,13/11
14,"Lenovo Ideapad Slim 3i 10th Gen Intel Core i5 14 inch FHD Thin and Light Laptop (8GB/512GB/Windows 10/MS Office/Grey/1.6Kg), 81WD00AVIN",B087D4RVHY,48990,13/11
15,"HP 10th Gen Intel Core i3 15.6-inch Laptop (i3-1005G1/4GB/512GB SSD/Windows 10 Home/MS Office/Natural Silver/1.77kg), 15s fr1004tu",B0897MSMQ3,44980,13/11
16,"Lenovo Thinkpad E14 Intel Core i5 10th Gen Display 14-inch Full HD IPS Thin and Light Laptop (8GB RAM/ 1TB HDD + 128GB SSD/Windows 10 Home/Microsoft Office Home&Student 2019/Black/ 1.69kg),20RAS0JW00",B08KGC4XW9,58990,13/11
17,"MSI Gaming GL65 Leopard , Intel 9th Gen. i7-9750H, 15.6"" FHD Gaming Laptop (8GB/512GB NVMe SSD/Windows 10 Home/Nvidia GTX 1650/ Black/2.3Kg) 9SCXK-076IN",B08GXWVW4K,69990,13/11
18,"HP 15s du2069TU 15.6-inch FHD Laptop (10th Gen i3-1005G1/4GB/1TB/Win 10/MS Office/1.75 kg), Jet Black",B087S3FPDG,37490,13/11
19,"ASUS VivoBook 15 Intel Core i5-1035G1 10th Gen 15.6-inch FHD Thin and Light Laptop (8GB RAM/1TB HDD + 256GB SSD/Windows 10/MS Office 2019/2GB NVIDIA MX330 Graphics/Blue/1.75 kg), X512JP-EJ232TS",B08CHZ71XB,63990,13/11
20,"AVITA LIBER V14 NS14A8INF562-MB 14-inch Laptop (Core i5-10210U/8GB/512GB SSD/FHD/Windows 10 Home/Intel UHD Graphics 620/MS Office 365/1.25KG), Matt Black",B08B26CXRT,38990,13/11
21,Dell Inspiron 3593 15.6 inch FHD Laptop (10th Gen i3-1005G1/ 4GB/ 1TB/ Integrated Graphics/ Win 10 + MS Office/ Silver) D560299WIN9SE,B08GY6GVFW,37490,13/11
22,"Lenovo ThinkPad E14 Intel Core i3 10th Gen 14-inch Full HD Thin and Light Laptop (4GB RAM/ 256GB SSD/ Windows 10 Home/ Microsoft Office Home & Student 2019/ Black/ 1.69 kg), 20RAS0WH00",B086R84186,39990,13/11
23,Dell Inspiron 3493 14 Inch FHD Thin & Light Laptop (10th Gen i5-1035G1/ 8GB/ 512 SSD/ Integrated Graphics/ Win 10 + MS Office/ Silver) D560156WIN9SE,B08GYHC22B,51990,13/11
24,"HP Pavilion Gaming 9th Gen Intel Core i5 Processor 15.6-inch FHD Gaming Laptop (8GB/1TB HDD/M.2 Slot/Windows 10/NVIDIA GTX 1650 4GB/Shadow Black), 15-dk0263TX",B08CYZM4Y1,62990,13/11
25,"Lenovo Ideapad Slim 3 AMD Athlon Silver 3050U 15.6 inch HD Thin and Light Laptop (4GB/1TB HDD/Windows 10/MS Office 2019/Platinum Grey/1.85Kg), 81W100HKIN",B08CQG6PDK,32090,13/11
26,"HP Pavilion x360 Touchscreen 2-in-1 FHD 14-inch Laptop (10th Gen Core i7-10510U/8GB/512GB SSD/Windows 10 Home/MS Office/Mineral Silver/1.58 kg), 14-dh1180tu",B08GD8LQTY,77290,13/11
27,"HP Envy x360 Convertible Touchscreen 13.3-inch FHD Laptop (3rd Gen Ryzen 5 4500U/8GB/256GB SSD/Win 10 Home/Night Fall Black/1.32kg), 13-ay0044AU",B086LQVR3C,69990,13/11
28,Dell Inspiron 5408 14 inch FHD 5000 Series Laptop (10th Gen i5-1035G1/8 GB/512 SSD/2 Gb NVIDIA Graphics/Win 10 + MS Office/Pebble) D560210WIN9SE,B08GYQF3CH,65990,13/11
29,"ASUS ROG Zephyrus G14, 14"" FHD 120Hz, Ryzen 5 4600HS, GTX 1650Ti 4GB GDDR6 Graphics, Gaming Laptop (8GB/1TB SSD/MS Office 2019/Windows 10/Eclipse Gray/Without Anime Matrix/1.6 Kg), GA401II-HE169TS",B08CFZDZLF,87990,13/11
30,"HP Envy x360 Convertible Touchscreen 13.3-inch FHD Laptop (3rd Gen Ryzen 5 4500U/8GB/512GB SSD/Win 10 Home/Night Fall Black/1.32kg), 13-ay0045AU",B08D5F4B6M,78990,13/11
31,"Lenovo Legion 5Pi 10th Gen Intel Core i7 15.6"" FHD Gaming Laptop (16GB/1TB SSD/Windows 10/MS Office 2019/144 Hz/NVIDIA RTX 2060 6GB GDDR6/with M300 RGB Gaming Mouse/Iron Grey/2.3Kg), 82AW005SIN",B08CQ21154,129990,13/11
32,"Lenovo V15 Intel Core i5 10th Gen 15-inch Full HD Thin and Light Laptop (8GB RAM/ 256GB SSD/ Windows 10 Home/ Grey/ 1.85 kg), 82C500PFIH",B08BXY8NMP,52990,13/11
33,"Lenovo Ideapad S340 Intel Core i5 10th Generation 14 inch FHD Thin and Light Laptop (8GB/1TB HDD + 256 GB SSD/Windows 10/MS Office/Platinum Grey/1.55Kg), 81VV008TIN",B083M2T31N,58490,13/11
34,"Acer Nitro 5 Intel Core i5-9300H 15.6-inch Full HD 1920 x 1080 Display Thin and Light Gaming Laptop (8GB/1TB+256GB SSD/Windows 10 Home/GTX 1650 Graphics/Obsidian Black/2.3 kgs),AN515-54",B0894NY25W,68970,13/11
35,"ASUS TUF Gaming FX505DT 15.6-inch FHD Laptop, Ryzen 7 3750H, GTX 1650 4GB GDDR5 Graphics (16GB RAM/512GB NVMe SSD/Windows 10/Stealth Black/2.20 Kg), FX505DT-BQ157T",B08CY64GHD,72990,13/11
36,"HP 14s dr1009tu 14-inch FHD Laptop (10th Gen Core i5-1035G1/8GB/512GB SSD/Windows 10 Home/MS Office/1.46 kg), Natural Silver",B08F786TH2,60990,13/11
37,"Lenovo Legion 5i 10th Gen Intel Core i5 15.6"" FHD IPS Gaming Laptop (8GB/512GB SSD/Windows 10/120 Hz/NVIDIA GTX 1650 4GB GDDR6/with M300 RGB Gaming Mouse/Phantom Black/2.3Kg), 82AU00KLIN",B08JLRYD44,68990,13/11
38,"Acer Aspire 3 AMD Athlon 3050U 15.6 - inch (1366 x 768) Thin and Light Laptop (8GB Ram/1TB HDD/Window 10 Home 64 bit/Charcoal Black),3 Year Warranty",B08HRV2NQH,33900,13/11
39,"AVITA LIBER V14 NS14A8INW561-AGA 14-inch Laptop (AMD R7-3700U/8GB/512GB SSD/FHD/Windows 10 Home/Intel UHD Graphics 620/ 1.25KG), Anchor Grey",B08B71LTV6,39990,13/11
40,"DELL Inspiron 3593 15.6-inch Laptop (10th Gen Ci5-1035G1/8GB/1TB HDD + 256GB SSD/Windows 10/2GB NVIDIA MX 230 Graphics), Platinum Silver",B07ZG5W9QN,65679,13/11
