,Name,LaptopID,RAM,HDD,SSD,Graphic,Link,Price
0,Lenovo Ideapad L340 Core i5 9th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX ...,COMFSH28EBGAMXZH,8,1,0,4,https://www.flipkart.com/lenovo-ideapad-l340-core-i5-9th-gen-8-gb-1-tb-hdd-windows-10-home-4-gb-graphics-nvidia-geforce-gtx-1650-60-hz-l340-15irh-gaming-laptop/p/itm956f5c12ef271?pid=COMFSH28EBGAMXZH&lid=LSTCOMFSH28EBGAMXZHLEHTWD&marketplace=FLIPKART&srno=b_1_1&otracker=browse&fm=organic&iid=en_tcfxz2OUBDobyrc1jH5mQpvT2Ssw9rIRvqm%2B2ObFVu0a04o63vgLo%2FJKr0xitys9UnSaD%2B7lVg36KZBHwT8LNw%3D%3D&ssid=zq11nxk6cg0000001602707739577,"58,990"
1,Asus ROG Strix G Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Gefo...,COMFG9YREHZ9VBKH,8,1,256,4,https://www.flipkart.com/asus-rog-strix-g-core-i5-9th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-60-hz-g531gt-bq024t-gaming-laptop/p/itmfg9yrrazqt7dk?pid=COMFG9YREHZ9VBKH&lid=LSTCOMFG9YREHZ9VBKH8WVPW9&marketplace=FLIPKART&srno=b_1_2&otracker=browse&fm=organic&iid=en_tcfxz2OUBDobyrc1jH5mQpvT2Ssw9rIRvqm%2B2ObFVu1bpywvWDaWy5muSHA1cWbM%2FVaL4S%2FEcyMmjzVejyfrjQ%3D%3D&ssid=zq11nxk6cg0000001602707739577,"74,990"
2,HP 15 Ryzen 3 Dual Core 3200U - (4 GB/1 TB HDD/Windows 10 Home) 15-db1069AU Laptop,COMFNXKS7TWWECNF,4,1,0,0,https://www.flipkart.com/hp-15-ryzen-3-dual-core-3200u-4-gb-1-tb-hdd-windows-10-home-15-db1069au-laptop/p/itmac27ac71e82f9?pid=COMFNXKS7TWWECNF&lid=LSTCOMFNXKS7TWWECNFKLRYMB&marketplace=FLIPKART&srno=b_1_3&otracker=browse&fm=organic&iid=920ac768-24da-4ab9-b80a-93d78312e585.COMFNXKS7TWWECNF.SEARCH&ssid=zq11nxk6cg0000001602707739577,"31,400"
3,HP 15s Core i3 10th Gen - (4 GB/512 GB SSD/Windows 10 Home) 15s-fr1004tu Thin and Light Laptop,COMFRWT5MDPKAQWA,4,0,512,0,https://www.flipkart.com/hp-15s-core-i3-10th-gen-4-gb-512-gb-ssd-windows-10-home-15s-fr1004tu-thin-light-laptop/p/itmc424ec6e4ccc7?pid=COMFRWT5MDPKAQWA&lid=LSTCOMFRWT5MDPKAQWA419XFO&marketplace=FLIPKART&srno=b_1_4&otracker=browse&fm=organic&iid=920ac768-24da-4ab9-b80a-93d78312e585.COMFRWT5MDPKAQWA.SEARCH&ssid=zq11nxk6cg0000001602707739577,"39,990"
4,Lenovo Ideapad Flex 5 Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) 14IIL05 2 in 1 Laptop,COMFTPG2XNWA4WUF,4,0,256,0,https://www.flipkart.com/lenovo-ideapad-flex-5-core-i3-10th-gen-4-gb-256-gb-ssd-windows-10-home-14iil05-2-1-laptop/p/itmfcb042bd73f74?pid=COMFTPG2XNWA4WUF&lid=LSTCOMFTPG2XNWA4WUFSH08SR&marketplace=FLIPKART&srno=b_1_5&otracker=browse&fm=organic&iid=920ac768-24da-4ab9-b80a-93d78312e585.COMFTPG2XNWA4WUF.SEARCH&ssid=zq11nxk6cg0000001602707739577,"46,990"
5,Dell Vostro Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) Vostro 3491 Thin and Light Laptop,COMFTZ8FAZQUCSQK,4,0,256,0,https://www.flipkart.com/dell-vostro-core-i3-10th-gen-4-gb-256-gb-ssd-windows-10-home-3491-thin-light-laptop/p/itm1a23c30f7b3c9?pid=COMFTZ8FAZQUCSQK&lid=LSTCOMFTZ8FAZQUCSQK60SJUW&marketplace=FLIPKART&srno=b_1_6&otracker=browse&fm=organic&iid=920ac768-24da-4ab9-b80a-93d78312e585.COMFTZ8FAZQUCSQK.SEARCH&ssid=zq11nxk6cg0000001602707739577,"35,990"
6,Asus VivoBook 15 Ryzen 3 Dual Core 3250U - (4 GB/1 TB HDD/Windows 10 Home) M509DA-EJ741T Laptop,COMFSKF9EMHCTN2Y,4,1,0,0,https://www.flipkart.com/asus-vivobook-15-ryzen-3-dual-core-3250u-4-gb-1-tb-hdd-windows-10-home-m509da-ej741t-laptop/p/itm3818c90283cd6?pid=COMFSKF9EMHCTN2Y&lid=LSTCOMFSKF9EMHCTN2YQQABD8&marketplace=FLIPKART&srno=b_1_7&otracker=browse&fm=organic&iid=920ac768-24da-4ab9-b80a-93d78312e585.COMFSKF9EMHCTN2Y.SEARCH&ssid=zq11nxk6cg0000001602707739577,"30,211"
7,HP 14 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14-ck2018TU Thin and Light Laptop,COMFVD2WVZWBNKZA,8,0,512,0,https://www.flipkart.com/hp-14-core-i5-10th-gen-8-gb-512-gb-ssd-windows-10-home-14-ck2018tu-thin-light-laptop/p/itm0b2aab6f42997?pid=COMFVD2WVZWBNKZA&lid=LSTCOMFVD2WVZWBNKZABYRW7T&marketplace=FLIPKART&srno=b_1_8&otracker=browse&fm=organic&iid=en_tcfxz2OUBDobyrc1jH5mQpvT2Ssw9rIRvqm%2B2ObFVu3MUu9FIEWx4og%2F25%2BcMaO66UyHkjjW%2BGI9fbS4%2FwRBEA%3D%3D&ssid=zq11nxk6cg0000001602707739577,"52,990"
8,HP Pavilion x360 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14-dh1179TU 2 in 1 Laptop,COMFU7ANCYD2WKZG,8,0,512,0,https://www.flipkart.com/hp-pavilion-x360-core-i5-10th-gen-8-gb-512-gb-ssd-windows-10-home-14-dh1179tu-2-1-laptop/p/itm6fdcb974dae9e?pid=COMFU7ANCYD2WKZG&lid=LSTCOMFU7ANCYD2WKZG4HCRSF&marketplace=FLIPKART&srno=b_1_9&otracker=browse&fm=organic&iid=920ac768-24da-4ab9-b80a-93d78312e585.COMFU7ANCYD2WKZG.SEARCH&ssid=zq11nxk6cg0000001602707739577,"63,990"
9,Dell Vostro Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) Vostro 3491 Thin and Light L...,COMFTZ8FD2UNBYFM,8,1,256,0,https://www.flipkart.com/dell-vostro-core-i5-10th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-3491-thin-light-laptop/p/itm721e6f9620f92?pid=COMFTZ8FD2UNBYFM&lid=LSTCOMFTZ8FD2UNBYFMC9F7C4&marketplace=FLIPKART&srno=b_1_10&otracker=browse&fm=organic&iid=920ac768-24da-4ab9-b80a-93d78312e585.COMFTZ8FD2UNBYFM.SEARCH&ssid=zq11nxk6cg0000001602707739577,"53,490"
10,HP 15s Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15s-du2071TU Thin and Light Laptop,COMFSFNVFHKMG4KJ,8,1,0,0,https://www.flipkart.com/hp-15s-core-i3-10th-gen-8-gb-1-tb-hdd-windows-10-home-15s-du2071tu-thin-light-laptop/p/itm8c9edb3ed5fa8?pid=COMFSFNVFHKMG4KJ&lid=LSTCOMFSFNVFHKMG4KJDRMARW&marketplace=FLIPKART&srno=b_1_11&otracker=browse&fm=organic&iid=920ac768-24da-4ab9-b80a-93d78312e585.COMFSFNVFHKMG4KJ.SEARCH&ssid=zq11nxk6cg0000001602707739577,"39,100"
